raw_token,parent_latin,confidence,note
љамоати дењоти Хундон,,low,"Хундон не идентифицирован; район не установлен. Пусто, low."
љамоати дењоти Хурм,,low,"Хурм — не идентифицирован уверенно; возможно Бохтарский р-н. Оставлено пусто, low."
љамоати дењоти Чимтеппа,Vakhsh,low,Чимтеппа — предположительно Вахшский р-н (Хатлон); не подтверждено. low.
љамоати дењоти Чоргултеппа,Dzhami,low,Чоргултеппа — предположительно р-н А.Ҷомӣ (Хатлон); не подтверждено. low.
љамоати дењоти Шабозов,Shughnon,low,"Джамоат им. Шабозова, памирская фамилия — предположительно Шугнан (ГБАО). low."
љамоати дењоти Ширинчашма,Shahrtuz,low,Ширинчашма — предположительно Шаҳритузский р-н (Хатлон). low.
љамоати дењоти Эсанбой,,low,"Эсанбой не идентифицирован уверенно; вероятно Согд. Пусто, low."
љамоати дењоти шањраки Оби-Гарм,Roghun,medium,"Обигарм — поселковый джамоат, историч. центр Рогунского района (РРП)."
љамоати шањраки Адрасмон,Asht,high,Адрасмон — поселковый джамоат Аштского района (Согд).
љамоатидењоти Вањдат,Bokhtar,low,Слитное написание 'джамоати дехоти Вахдат'; см. токен Вањдат — джамоат в Бохтаре. low.
љамоатишањракиБохтариён,Bokhtar,medium,Слитно: 'джамоати шахраки Бохтариён'. Бохтариён — поселковый джамоат в Бохтарском районе.
љамоатњои Сурхоб ва љамоати Алѓа,Bokhtar,medium,"Два джамоата: Сурхоб + Алға. Оба — сельские джамоаты Бохтарского района (Хатлон). multi, но один родитель."
